Item Name,Quantity
biolink:active_in,1.0
biolink:actively_involved_in,0.9984045053319707
biolink:actively_involves,1.0
biolink:acts_upstream_of,1.0
biolink:acts_upstream_of_negative_effect,1.0
biolink:acts_upstream_of_or_within,1.0
biolink:acts_upstream_of_or_within_negative_effect,1.0
biolink:acts_upstream_of_or_within_positive_effect,1.0
biolink:acts_upstream_of_positive_effect,1.0
biolink:adverse_event_of,1.0
biolink:affected_by,1.0
biolink:affects,0.691327839657098
biolink:affects_likelihood_of,0.9818329215232231
biolink:affects_response_to,1.0
biolink:ameliorates_condition,1.0
biolink:amount_or_activity_decreased_by,1.0
biolink:amount_or_activity_increased_by,1.0
biolink:applied_to_treat,0.9757312324549489
biolink:assesses,1.0
biolink:associated_with,0.8350732849510356
biolink:associated_with_decreased_likelihood_of,1.0
biolink:associated_with_increased_likelihood_of,1.0
biolink:associated_with_likelihood_of,1.0
biolink:associated_with_resistance_to,1.0
biolink:associated_with_sensitivity_to,1.0
biolink:author,1.0
biolink:beneficial_in_models_for,1.0
biolink:binds,1.0
biolink:biomarker_for,0.9994566693833198
biolink:broad_match,1.0
biolink:can_be_carried_out_by,1.0
biolink:capable_of,0.9992324377002454
biolink:catalyzes,1.0
biolink:caused_by,1.0
biolink:causes,0.9555503809782538
biolink:chemically_similar_to,0.9964209173663127
biolink:close_match,0.9673613536694221
biolink:coexists_with,0.933247952807855
biolink:coexpressed_with,1.0
biolink:colocalizes_with,0.995713725135078
biolink:completed_by,1.0
biolink:composed_primarily_of,1.0
biolink:condition_ameliorated_by,1.0
biolink:condition_associated_with_gene,1.0
biolink:condition_exacerbated_by,1.0
biolink:condition_predisposed_by,1.0
biolink:condition_prevented_by,1.0
biolink:condition_promoted_by,1.0
biolink:consumed_by,1.0
biolink:consumes,1.0
biolink:contains_process,1.0
biolink:contraindicated_in,0.9947003704134918
biolink:contributes_to,0.9555288202394967
biolink:contribution_from,1.0
biolink:contributor,1.0
biolink:correlated_with,0.9994351086445626
biolink:decreased_amount_in,1.0
biolink:decreased_likelihood_associated_with,1.0
biolink:decreases_amount_or_activity_of,1.0
biolink:decreases_response_to,1.0
biolink:derives_from,0.9951272730408834
biolink:derives_into,0.9991116975632053
biolink:develops_from,0.9999655028179886
biolink:develops_into,1.0
biolink:diagnoses,0.9999870635567457
biolink:directly_physically_interacts_with,0.9855543050327077
biolink:disease_has_basis_in,1.0
biolink:disease_has_location,0.9999784392612429
biolink:disrupted_by,1.0
biolink:disrupts,0.9675985217957508
biolink:editor,1.0
biolink:enabled_by,1.0
biolink:enables,0.9991116975632053
biolink:exacerbates_condition,0.9997240225439085
biolink:exact_match,0.9971410460408016
biolink:expressed_in,0.9989737088351596
biolink:expresses,1.0
biolink:food_component_of,1.0
biolink:gene_associated_with_condition,0.8354656903964157
biolink:gene_fusion_with,1.0
biolink:gene_product_of,0.9991461947452167
biolink:genetic_association,1.0
biolink:genetic_neighborhood_of,1.0
biolink:genetically_associated_with,0.8354656903964157
biolink:genetically_interacts_with,1.0
biolink:has_active_component,1.0
biolink:has_active_ingredient,1.0
biolink:has_adverse_event,1.0
biolink:has_author,1.0
biolink:has_biomarker,1.0
biolink:has_catalyst,1.0
biolink:has_chemical_role,1.0
biolink:has_completed,1.0
biolink:has_contraindication,1.0
biolink:has_contributor,1.0
biolink:has_decreased_amount,1.0
biolink:has_editor,1.0
biolink:has_excipient,1.0
biolink:has_food_component,1.0
biolink:has_frameshift_variant,1.0
biolink:has_gene_product,1.0
biolink:has_increased_amount,1.0
biolink:has_input,0.9994178600535569
biolink:has_manifestation,1.0
biolink:has_member,0.9992496862912511
biolink:has_metabolite,0.9991116975632053
biolink:has_missense_variant,1.0
biolink:has_mode_of_inheritance,1.0
biolink:has_molecular_consequence,1.0
biolink:has_nearby_variant,1.0
biolink:has_negative_upstream_actor,1.0
biolink:has_negative_upstream_or_within_actor,1.0
biolink:has_non_coding_variant,1.0
biolink:has_nonsense_variant,1.0
biolink:has_not_completed,1.0
biolink:has_nutrient,1.0
biolink:has_output,0.9998275140899427
biolink:has_part,0.9631656339072802
biolink:has_participant,0.9837388908293554
biolink:has_phenotype,0.9999655028179886
biolink:has_plasma_membrane_part,0.9999913757044971
biolink:has_positive_upstream_actor,1.0
biolink:has_positive_upstream_or_within_actor,1.0
biolink:has_provider,1.0
biolink:has_publisher,1.0
biolink:has_sequence_location,1.0
biolink:has_sequence_variant,1.0
biolink:has_side_effect,1.0
biolink:has_splice_site_variant,1.0
biolink:has_substrate,1.0
biolink:has_synonymous_variant,1.0
biolink:has_target,1.0
biolink:has_upstream_actor,1.0
biolink:has_upstream_or_within_actor,1.0
biolink:has_variant_part,1.0
biolink:homologous_to,1.0
biolink:in_cell_population_with,1.0
biolink:in_clinical_trials_for,0.9642177979586293
biolink:in_complex_with,1.0
biolink:in_linkage_disequilibrium_with,1.0
biolink:in_pathway_with,1.0
biolink:in_preclinical_trials_for,1.0
biolink:in_taxon,1.0
biolink:increased_amount_of,1.0
biolink:increased_likelihood_associated_with,1.0
biolink:increases_amount_or_activity_of,1.0
biolink:increases_response_to,1.0
biolink:indirectly_physically_interacts_with,1.0
biolink:interacts_with,0.7623661617141649
biolink:is_active_ingredient_of,1.0
biolink:is_assessed_by,1.0
biolink:is_diagnosed_by,1.0
biolink:is_excipient_of,1.0
biolink:is_frameshift_variant_of,1.0
biolink:is_input_of,1.0
biolink:is_metabolite_of,1.0
